extract1,extract2,extract3,extract4,extract5,extract6,pcrSV019,pcrSV020,pcrSV021,pcrTM018,pcrSV023,pcrSV016,prcSV017,pcrSV018,neg_water_Laelae,neg_water_BarangBaringan,neg_water_K.keke,neg_water_Samalona,neg_water_Langkadea,neg_water_Karanrang,neg_water_Langkai,neg_water_Badi,neg_water_Kapoposang,neg_water_Lumulumu,neg_water_Polewali,neg_water_Padjenekang,neg_aqua
UPG-EG22-S014,UPG-EG22-S052,UPG-EG22-S060,UPG-EG22-S001,UPG-EG22-S003,UPG-EG22-S006,neg. control,neg. control,neg. control,extract_neg1,UPG-EG22-W015,UPG-EG22-W017,UPG-EG22-W001,UPG-EG22-W237,UPG-EG22-W232,UPG-EG22-W211,UPG-EG22-W202,UPG-EG22-W103,UPG-EG22-W205,UPG-EG22-W208,UPG-EG22-W100,UPG-EG22-W106,UPG-EG22-W265,UPG-EG22-W325,UPG-EG22-W328,UPG-EG22-W364,UPG-EG22-W322
UPG-EG22-S015,UPG-EG22-S054,UPG-EG22-S064,UPG-EG22-S002,UPG-EG22-S004,UPG-EG22-S009,UPG-EG22-S001,UPG-EG22-S001,UPG-EG22-S001,extract_neg2,UPG-EG22-W236,UPG-EG22-W277,UPG-EG22-W004,UPG-EG22-W333,UPG-EG22-W233,UPG-EG22-W212,UPG-EG22-W203,UPG-EG22-W104,UPG-EG22-W206,UPG-EG22-W209,UPG-EG22-W101,UPG-EG22-W107,UPG-EG22-W266,UPG-EG22-W326,UPG-EG22-W329,UPG-EG22-W365,UPG-EG22-W323
UPG-EG22-S017,UPG-EG22-S055,UPG-EG22-S071,UPG-EG22-S008,UPG-EG22-S005,UPG-EG22-S038,UPG-EG22-S002,UPG-EG22-S002,UPG-EG22-S002,extract_neg3,UPG-EG22-W332,UPG-EG22-W280,UPG-EG22-W007,UPG-EG22-W099,UPG-EG22-W234,UPG-EG22-W213,UPG-EG22-W204,UPG-EG22-W105,UPG-EG22-W207,UPG-EG22-W210,UPG-EG22-W102,UPG-EG22-W108,UPG-EG22-W267,UPG-EG22-W327,UPG-EG22-W330,UPG-EG22-W366,UPG-EG22-W324
UPG-EG22-S018,UPG-EG22-S057,UPG-EG22-S073,UPG-EG22-S011,UPG-EG22-S007,UPG-EG22-S039,UPG-EG22-S003,UPG-EG22-S003,UPG-EG22-S003,extract_neg4,UPG-EG22-W018,UPG-EG22-W283,UPG-EG22-W010,UPG-EG22-W102,UPG-EG22-W220,UPG-EG22-W193,UPG-EG22-W136,UPG-EG22-W058,UPG-EG22-W160,UPG-EG22-W169,UPG-EG22-W001,UPG-EG22-W067,UPG-EG22-W262,UPG-EG22-W298,UPG-EG22-W319,UPG-EG22-W337,UPG-EG22-W106
UPG-EG22-S056,UPG-EG22-S063,UPG-EG22-S077,UPG-EG22-S012,UPG-EG22-S010,UPG-EG22-S040,UPG-EG22-S004,UPG-EG22-S004,UPG-EG22-S004,extract_neg5,UPG-EG22-W188,UPG-EG22-W286,UPG-EG22-W013,UPG-EG22-W105,UPG-EG22-W221,UPG-EG22-W194,UPG-EG22-W137,UPG-EG22-W059,UPG-EG22-W161,UPG-EG22-W170,UPG-EG22-W002,UPG-EG22-W068,UPG-EG22-W263,UPG-EG22-W299,UPG-EG22-W320,UPG-EG22-W338,UPG-EG22-W107
UPG-EG22-S062,UPG-EG22-S072,UPG-EG22-S082,UPG-EG22-S013,UPG-EG22-S021,UPG-EG22-S041,UPG-EG22-S005,UPG-EG22-S005,UPG-EG22-S005,extract_neg6,UPG-EG22-W191,UPG-EG22-W289,UPG-EG22-W016,UPG-EG22-W108,UPG-EG22-W222,UPG-EG22-W195,UPG-EG22-W138,UPG-EG22-W060,UPG-EG22-W162,UPG-EG22-W171,UPG-EG22-W003,UPG-EG22-W069,UPG-EG22-W264,UPG-EG22-W300,UPG-EG22-W321,UPG-EG22-W339,UPG-EG22-W108
UPG-EG22-S079,UPG-EG22-S074,UPG-EG22-S083,UPG-EG22-S016,UPG-EG22-S022,UPG-EG22-S042,UPG-EG22-S006,UPG-EG22-S006,UPG-EG22-S006,UPG-EG22-S096,UPG-EG22-W194,UPG-EG22-W292,UPG-EG22-W025,UPG-EG22-W111,UPG-EG22-W217,UPG-EG22-W190,UPG-EG22-W133,UPG-EG22-W055,UPG-EG22-W157,UPG-EG22-W166,UPG-EG22-W004,UPG-EG22-W064,UPG-EG22-W259,UPG-EG22-W295,UPG-EG22-W316,UPG-EG22-W334,UPG-EG22-W211
UPG-EG22-S091,UPG-EG22-S075,UPG-EG22-S084,UPG-EG22-S019,UPG-EG22-S023,UPG-EG22-S044,UPG-EG22-S007,UPG-EG22-S007,UPG-EG22-S007,UPG-EG22-S097,UPG-EG22-W197,UPG-EG22-W295,UPG-EG22-W028,UPG-EG22-W114,UPG-EG22-W218,UPG-EG22-W191,UPG-EG22-W134,UPG-EG22-W056,UPG-EG22-W158,UPG-EG22-W167,UPG-EG22-W005,UPG-EG22-W065,UPG-EG22-W260,UPG-EG22-W296,UPG-EG22-W317,UPG-EG22-W335,UPG-EG22-W212
UPG-EG22-S121,UPG-EG22-S078,UPG-EG22-S085,UPG-EG22-S020,UPG-EG22-S025,UPG-EG22-S045,UPG-EG22-S008,UPG-EG22-S008,UPG-EG22-S008,UPG-EG22-S098,UPG-EG22-W200,UPG-EG22-W298,UPG-EG22-W031,UPG-EG22-W117,UPG-EG22-W219,UPG-EG22-W192,UPG-EG22-W135,UPG-EG22-W057,UPG-EG22-W159,UPG-EG22-W168,UPG-EG22-W006,UPG-EG22-W066,UPG-EG22-W261,UPG-EG22-W297,UPG-EG22-W318,UPG-EG22-W336,UPG-EG22-W213
extract_neg1,UPG-EG22-S086,UPG-EG22-S087,UPG-EG22-S024,UPG-EG22-S027,UPG-EG22-S046,UPG-EG22-S009,UPG-EG22-S009,UPG-EG22-S009,UPG-EG22-S099,UPG-EG22-W203,UPG-EG22-W301,UPG-EG22-W034,UPG-EG22-W120,UPG-EG22-W214,UPG-EG22-W187,UPG-EG22-W130,UPG-EG22-W052,UPG-EG22-W154,UPG-EG22-W163,UPG-EG22-W028,UPG-EG22-W061,UPG-EG22-W256,UPG-EG22-W292,UPG-EG22-W313,UPG-EG22-W332,UPG-EG22-W202
