extract1,extract2,extract3,extract4,extract5,extract6,extract7,extract8,pcrEG009,pcrEG010,pcrEG011,pcrEG012
UPG-EG22-011,UPG-EG22-031,UPG-EG22-001,UPG-EG22-032,UPG-EG22-055,UPG-EG22-106,UPG-EG22-076,UPG-EG22-091,UPG-EG22-001,UPG-EG22-032,UPG-EG22-063,UPG-EG22-094
UPG-EG22-012,UPG-EG22-044,UPG-EG22-003,UPG-EG22-033,UPG-EG22-056,UPG-EG22-107,UPG-EG22-077,UPG-EG22-092,UPG-EG22-003,UPG-EG22-034,UPG-EG22-065,UPG-EG22-096
UPG-EG22-013,UPG-EG22-045,UPG-EG22-004,UPG-EG22-034,UPG-EG22-057,UPG-EG22-108,UPG-EG22-078,UPG-EG22-093,UPG-EG22-006,UPG-EG22-037,UPG-EG22-068,UPG-EG22-098
UPG-EG22-014,UPG-EG22-046,UPG-EG22-005,UPG-EG22-035,UPG-EG22-058,UPG-EG22-109,UPG-EG22-079,UPG-EG22-094,UPG-EG22-009,UPG-EG22-040,UPG-EG22-071,UPG-EG22-101
UPG-EG22-015,UPG-EG22-047,UPG-EG22-006,UPG-EG22-036,UPG-EG22-059,UPG-EG22-112,UPG-EG22-080,UPG-EG22-095,UPG-EG22-011,UPG-EG22-042,UPG-EG22-073,UPG-EG22-103
UPG-EG22-016,UPG-EG22-048,UPG-EG22-007,UPG-EG22-037,UPG-EG22-060,UPG-EG22-113,UPG-EG22-081,UPG-EG22-096,UPG-EG22-014,UPG-EG22-045,UPG-EG22-076,UPG-EG22-107
UPG-EG22-017,UPG-EG22-049,UPG-EG22-008,UPG-EG22-038,UPG-EG22-061,UPG-EG22-114,UPG-EG22-082,UPG-EG22-097,UPG-EG22-017,UPG-EG22-048,UPG-EG22-079,UPG-EG22-111
UPG-EG22-018,UPG-EG22-050,UPG-EG22-009,UPG-EG22-039,UPG-EG22-062,UPG-EG22-123,UPG-EG22-083,UPG-EG22-121,UPG-EG22-019,UPG-EG22-050,UPG-EG22-081,UPG-EG22-124
UPG-EG22-019,UPG-EG22-051,UPG-EG22-010,UPG-EG22-040,UPG-EG22-063,UPG-EG22-115,UPG-EG22-084,UPG-EG22-098,UPG-EG22-022,UPG-EG22-053,UPG-EG22-084,UPG-EG22-097
UPG-EG22-020,UPG-EG22-065,UPG-EG22-021,UPG-EG22-041,UPG-EG22-064,UPG-EG22-116,UPG-EG22-085,UPG-EG22-099,UPG-EG22-025,UPG-EG22-056,UPG-EG22-087,UPG-EG22-104
UPG-EG22-024,UPG-EG22-066,UPG-EG22-022,UPG-EG22-042,UPG-EG22-071,UPG-EG22-118,UPG-EG22-086,UPG-EG22-100,UPG-EG22-027,UPG-EG22-058,UPG-EG22-089,UPG-EG22-112
UPG-EG22-028,UPG-EG22-067,UPG-EG22-023,UPG-EG22-043,UPG-EG22-072,UPG-EG22-110,UPG-EG22-087,UPG-EG22-101,UPG-EG22-030,UPG-EG22-061,UPG-EG22-092,UPG-EG22-117
UPG-EG22-029,UPG-EG22-068,UPG-EG22-025,UPG-EG22-052,UPG-EG22-073,UPG-EG22-119,UPG-EG22-088,UPG-EG22-102,UPG-EG22-004,UPG-EG22-035,UPG-EG22-066,UPG-EG22-099
UPG-EG22-030,UPG-EG22-069,UPG-EG22-026,UPG-EG22-053,UPG-EG22-074,UPG-EG22-120,UPG-EG22-089,UPG-EG22-103,UPG-EG22-012,UPG-EG22-043,UPG-EG22-074,UPG-EG22-108
Negative-neg1,UPG-EG22-070,UPG-EG22-027,UPG-EG22-054,UPG-EG22-075,Negative-neg6,UPG-EG22-090,UPG-EG22-104,UPG-EG22-020,UPG-EG22-051,UPG-EG22-082,UPG-EG22-122
,Negative-neg2,Negative-neg3,Negative-neg4,Negative-neg5,,Negative-neg7,Negative-neg8,UPG-EG22-028,UPG-EG22-059,UPG-EG22-090,UPG-EG22-118
,,,,,,,,UPG-EG22-007,UPG-EG22-038,UPG-EG22-069,UPG-EG22-095
,,,,,,,,UPG-EG22-015,UPG-EG22-046,UPG-EG22-077,UPG-EG22-102
,,,,,,,,UPG-EG22-023,UPG-EG22-054,UPG-EG22-085,UPG-EG22-113
,,,,,,,,UPG-EG22-031,UPG-EG22-062,UPG-EG22-093,UPG-EG22-110
,,,,,,,,UPG-EG22-002,UPG-EG22-033,UPG-EG22-064,UPG-EG22-121
,,,,,,,,UPG-EG22-010,UPG-EG22-041,UPG-EG22-072,UPG-EG22-106
,,,,,,,,UPG-EG22-018,UPG-EG22-049,UPG-EG22-080,UPG-EG22-114
,,,,,,,,UPG-EG22-026,UPG-EG22-057,UPG-EG22-088,UPG-EG22-119
,,,,,,,,UPG-EG22-005,UPG-EG22-036,UPG-EG22-067,UPG-EG22-100
,,,,,,,,UPG-EG22-013,UPG-EG22-044,UPG-EG22-075,UPG-EG22-109
,,,,,,,,UPG-EG22-021,UPG-EG22-052,UPG-EG22-083,UPG-EG22-123
,,,,,,,,UPG-EG22-029,UPG-EG22-060,UPG-EG22-091,UPG-EG22-120
,,,,,,,,UPG-EG22-008,UPG-EG22-039,UPG-EG22-070,UPG-EG22-115
,,,,,,,,UPG-EG22-016,UPG-EG22-047,UPG-EG22-078,Negative-neg7
,,,,,,,,UPG-EG22-024,UPG-EG22-055,UPG-EG22-086,UPG-EG22-116
,,,,,,,,Negative-neg1,Negative-neg3,Negative-neg5,Negative-neg8
,,,,,,,,Negative-neg2,Negative-neg4,Negative-neg6,
,,,,,,,,negative,negative,negative,
