ESVs,Subject,Subject accession,Subject Taxonomy ID,Identity percentage,Coverage,evalue,bitscore,Source,Taxonomy
ESV_1,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_delicatissima,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_delicatissima,N/A,85.95,92,8.69E-70,259,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_delicatissima
ESV_2,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata,N/A,99.24,100,7.93E-135,475,Genbank,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata
ESV_3,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_adhaerens,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_adhaerens,N/A,94.677,100,8.16E-115,409,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_adhaerens
ESV_4,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp,N/A,84.03,100,4.04E-68,254,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.
ESV_5,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata,N/A,100,100,3.66E-138,486,Genbank,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata
ESV_6,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,N/A,98.099,100,7.98E-130,459,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta
ESV_7,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),N/A,98.099,100,7.98E-130,459,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta)
ESV_8,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans,N/A,93.182,100,3.82E-108,387,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans
ESV_9,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans,N/A,89.734,100,3.90E-93,337,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans
ESV_10,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_varelae,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_varelae,N/A,86.056,95,4.02E-73,270,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_varelae
