ESVs,Subject,species,Subject Taxonomy ID,identity,Coverage,evalue,bitscore,Source,Taxonomy
Otu0001,Amphistegina_lessonii,Amphistegina_lessonii,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0002,Amphistegina_radiata_Spermonde,Amphistegina_radiata_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0003,Heterostegina_depressa_sp2_Spermonde,Heterostegina_depressa_sp2_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0004,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,N/A,100,100,1.99E-172,593,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0005,Elphidium_Rik_9327_9337_9350_Spermonde,Elphidium_Rik_9327_9337_9350_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0006,Amphistegina_lobifera,Amphistegina_lobifera,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0007,Operculina_ammonoides,Operculina_ammonoides,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0008,Peneroplis_sp1_Spermonde,Peneroplis_sp1_Spermonde,N/A,100,100,1.99E-172,593,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0009,Amphistegina_lessonii_5174,Amphistegina_lessonii_5174,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0010,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,99.688,100,9.28E-171,588,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0011,Sorites_sp2_Spermonde,Sorites_sp2_Spermonde,N/A,99.688,100,9.28E-171,588,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0012,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,98.452,100,3.38E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0013,Neorotalia_gaimardi_&_Baculogypsina_sphaerulata_Spermonde,Neorotalia_gaimardi_&_Baculogypsina_sphaerulata_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0014,Operculina_ammonoides,Operculina_ammonoides,N/A,99.69,100,2.60E-171,590,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0015,Planorbulinella_sp._17893,Planorbulinella_sp._17893,N/A,99.69,100,7.22E-172,592,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0016,Amphistegina_papillosa_Spermonde_3741,Amphistegina_papillosa_Spermonde_3741,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0017,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0018,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,96.594,100,3.43E-155,536,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0019,Heterostegina_depressa_sp1_Spermonde,Heterostegina_depressa_sp1_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
